key,make_encoded,model_encoded,transmission_encoded,body_type_encoded,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Suzuki S-Presso,0.039609994,0.003046923,0.232784887,0.060329068,0,1,30000,1,415000,620000,9
Suzuki S-Presso,0.039609994,0.003046923,0.232784887,0.060329068,0,1,35000,1,410000,620000,9
Suzuki S-Presso,0.039609994,0.003046923,0.232784887,0.060329068,0,1,9000,1,448000,620000,9
Suzuki S-Presso,0.039609994,0.003046923,0.232784887,0.060329068,0,1,6000,1,528000,620000,9
Suzuki S-Presso,0.039609994,0.003046923,0.232784887,0.060329068,0,1,800,1,560000,620000,9
Suzuki APV,0.039609994,0.004265692,0.232784887,0.162705667,0,1,90000,1.6,270000,743000,9
Suzuki APV,0.039609994,0.004265692,0.606337599,0.162705667,0,1,40000,1.6,480000,743000,9
Suzuki APV,0.039609994,0.004265692,0.232784887,0.162705667,0,1,70000,1.6,410000,743000,9
Suzuki APV,0.039609994,0.004265692,0.232784887,0.162705667,0,1,38000,1.6,415000,743000,9
Suzuki APV,0.039609994,0.004265692,0.606337599,0.046313224,0,1,83000,1.6,438000,743000,9
Suzuki APV,0.039609994,0.004265692,0.606337599,0.046313224,0,1,73000,1.59,468000,743000,9
Suzuki APV,0.039609994,0.004265692,0.232784887,0.162705667,0,1,21000,1.6,528000,743000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,10000,1.5,630000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,30000,1.5,515000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,70000,1.4,430000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,50000,1.5,565000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,40000,1.5,505000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,40000,1.5,615000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,38000,1.4,498000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,20000,1.5,690000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,43000,1.5,548000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,12387,1.5,700000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,12400,1.5,788000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,38000,1.46,558000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,1,1.46,665000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,9000,1.46,678000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,17000,1.46,688000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,31000,1.46,688000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.232784887,0.162705667,0,1,1,1.46,665000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,9000,1.46,678000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,17000,1.46,688000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,31000,1.46,688000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,11400,1.46,800000,954000,9
Suzuki Ertiga,0.039609994,0.013406459,0.606337599,0.162705667,0,1,25000,1.46,940000,954000,9
Suzuki Swift,0.039609994,0.007312614,0.606337599,0.060329068,0,1,60000,1.2,385000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.232784887,0.209628275,0,1,56000,1.2,300000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.232784887,0.060329068,0,1,28000,1.2,335000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.232784887,0.060329068,0,1,64000,1.2,350000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.606337599,0.060329068,0,1,52000,1.37,365000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.15234613,0.060329068,0,1,77000,1.2,369000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.232784887,0.209628275,0,1,43000,1.2,380000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.232784887,0.209628275,0,1,19000,1.2,415000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.232784887,0.209628275,0,1,1,1.2,430000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.606337599,0.209628275,0,1,30000,1.2,438000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.15234613,0.060329068,0,1,39000,1.2,455000,989000,9
Suzuki Swift,0.039609994,0.007312614,0.15234613,0.060329068,0,1,11800,1.2,650000,989000,9
Suzuki Jimny,0.039609994,0.005484461,0.606337599,0.371115174,0,1,50000,1.3,710000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.606337599,0.371115174,0,1,60000,1.5,1195000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.606337599,0.371115174,0,1,1,1.33,378000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.232784887,0.371115174,0,1,39000,1.33,435000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.606337599,0.371115174,0,1,230000,1.46,570000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.606337599,0.371115174,0,1,80000,1.46,718000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.232784887,0.371115174,0,1,1,1.46,1128000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.232784887,0.371115174,0,1,85000,1.46,1150000,1258000,9
Suzuki Jimny,0.039609994,0.005484461,0.606337599,0.371115174,0,1,28000,1.46,1200000,1258000,9
Suzuki Celerio,0.039609994,0.003046923,0.606337599,0.060329068,0,1,50000,1,360000,708000,9
Suzuki Celerio,0.039609994,0.003046923,0.15234613,0.060329068,0,1,12000,1,60000,708000,9
Suzuki Celerio,0.039609994,0.003046923,0.000609385,0.060329068,0,1,90000,1,265000,708000,9
Suzuki Celerio,0.039609994,0.003046923,0.15234613,0.060329068,0,1,50000,1,300000,708000,9
Suzuki Celerio,0.039609994,0.003046923,0.15234613,0.060329068,0,1,60000,1,370000,708000,9
Suzuki Dzire,0.039609994,0.000609385,0.606337599,0.209628275,0,1,6000,1.2,495000,609000,9
Suzuki Carry,0.039609994,0.002437538,0.232784887,0.074954296,0,1,30000,1.5,220000,614000,9
Suzuki Carry,0.039609994,0.002437538,0.232784887,0.074954296,0,1,259046,1.5,300000,614000,9
Suzuki Carry,0.039609994,0.002437538,0.232784887,0.074954296,0,1,15000,1.5,515000,614000,9
Suzuki Carry,0.039609994,0.002437538,0.232784887,0.074954296,0,1,25000,1.5,550000,614000,9
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,2.2,930000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,40000,2,1320000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,3.2,990000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,40000,3.2,1190000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,40000,2.2,1080000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,50000,2.2,940000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,40000,2.2,905000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,40000,2.2,1020000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,80000,2,1190000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,50000,2.2,755000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,63000,2.2,798000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,56000,2.2,778000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,100000,2.2,950000,1799000,2
Ford Everest,0.104204753,0.040219378,0.232784887,0.371115174,1,0,45000,2.2,825000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,1,2.2,830000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,45000,2,850000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,155000,2,280000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,129000,2.5,319000,1799000,2
Ford Everest,0.104204753,0.040219378,0.232784887,0.371115174,1,0,178000,2.5,320000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,115000,2.2,350000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,2.5,358000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,1,2.2,480000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,2.5,510000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,70000,2.5,510000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,70000,2,530000,1799000,2
Ford Everest,0.104204753,0.040219378,0.232784887,0.371115174,1,0,1,2.5,530000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,95000,2,690000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,70000,2,700000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,95000,2,690000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,70000,2,700000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,75000,2,730000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,90000,2.2,780000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,30000,2,800000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,88000,2,800000,1799000,2
Ford Everest,0.104204753,0.040219378,0.232784887,0.371115174,1,0,45000,2.2,825000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,1,2.2,830000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,45000,2,850000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,78000,2.2,888000,1799000,2
Ford Everest,0.104204753,0.040219378,0.232784887,0.371115174,1,0,60000,2.2,890000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,35000,2,890000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,39000,2.2,898000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,72000,2.2,945000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,88889,2,950000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,22000,2.2,950000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,25000,2,950000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,50000,2,970000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,40000,2,976000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,75000,2.2,998000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,48000,2.2,1000000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,2.2,1028000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,14000,2.2,1050000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,71000,2,1050000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,1,3.2,1050000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,30000,2.2,1070000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,45000,2.2,1098000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,41000,2.2,1168000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,3.2,1190000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,38000,2,1200000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,80000,2,1200000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,60000,2,1350000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,23000,2,1358000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,8000,2,1600000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,20000,2,1700000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,11000,2,1795000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,20001,2,1830000,1799000,2
Ford Everest,0.104204753,0.040219378,0.606337599,0.371115174,1,0,11000,2,1880000,1799000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,40000,2,1540000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,60000,2.2,680000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,60000,2.2,770000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,40000,2,905000,1249000,2
Ford Ranger,0.104204753,0.035344302,0.606337599,0.074954296,1,0,21000,2,1890000,1249000,2
