key,make,model,transmission,body_type,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
Suzuki S-Presso,548857.1964662132,868564.7095858935,753252.8193717279,540023.2803815576,0,1,30000.0,1.0,415000.0,620000.0,9
Suzuki S-Presso,548857.1964662132,868564.7095858935,753252.8193717279,540023.2803815576,0,1,35000.0,1.0,410000.0,620000.0,9
Suzuki S-Presso,548857.1964662132,868564.7095858935,753252.8193717279,540023.2803815576,0,1,9000.0,1.0,448000.0,620000.0,9
Suzuki S-Presso,548857.1964662132,868564.7095858935,753252.8193717279,540023.2803815576,0,1,6000.0,1.0,528000.0,620000.0,9
Suzuki S-Presso,548857.1964662132,868564.7095858935,753252.8193717279,540023.2803815576,0,1,800.0,1.0,560000.0,620000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,753252.8193717279,875357.4906382348,0,1,90000.0,1.6,270000.0,743000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,1102810.8291457286,875357.4906382348,0,1,40000.0,1.6,480000.0,743000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,753252.8193717279,875357.4906382348,0,1,70000.0,1.6,410000.0,743000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,753252.8193717279,875357.4906382348,0,1,38000.0,1.6,415000.0,743000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,1102810.8291457286,1118522.8235383262,0,1,83000.0,1.6,438000.0,743000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,1102810.8291457286,1118522.8235383262,0,1,73000.0,1.59,468000.0,743000.0,9
Suzuki APV,548857.1964662132,844108.8658722449,753252.8193717279,875357.4906382348,0,1,21000.0,1.6,528000.0,743000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,10000.0,1.5,630000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,30000.0,1.5,515000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,70000.0,1.4,430000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,50000.0,1.5,565000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,40000.0,1.5,505000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,40000.0,1.5,615000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,38000.0,1.4,498000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,20000.0,1.5,690000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,43000.0,1.5,548000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,12387.0,1.5,700000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,12400.0,1.5,788000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,38000.0,1.46,558000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,1.0,1.46,665000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,9000.0,1.46,678000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,17000.0,1.46,688000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,31000.0,1.46,688000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,753252.8193717279,875357.4906382348,0,1,1.0,1.46,665000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,9000.0,1.46,678000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,17000.0,1.46,688000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,31000.0,1.46,688000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,11400.0,1.46,800000.0,954000.0,9
Suzuki Ertiga,548857.1964662132,786204.1012267602,1102810.8291457286,875357.4906382348,0,1,25000.0,1.46,940000.0,954000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,1102810.8291457286,540023.2803815576,0,1,60000.0,1.2,385000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,753252.8193717279,704313.6279069788,0,1,56000.0,1.2,300000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,753252.8193717279,540023.2803815576,0,1,28000.0,1.2,335000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,753252.8193717279,540023.2803815576,0,1,64000.0,1.2,350000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,1102810.8291457286,540023.2803815576,0,1,52000.0,1.37,365000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,678251.5520286055,540023.2803815576,0,1,77000.0,1.2,369000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,753252.8193717279,704313.6279069788,0,1,43000.0,1.2,380000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,753252.8193717279,704313.6279069788,0,1,19000.0,1.2,415000.0,989000.0,9
Suzuki Swift,548857.1964662132,786179.8241495811,753252.8193717279,704313.6279069788,0,1,1.0,1.2,430000.0,989000.0,9
