model,count
Fortuner,114
Vios,100
Montero,95
Innova,79
Everest,66
Ranger,58
Mirage,56
City,50
Avanza,49
Hiace,48
Xpander,43
Trailblazer,42
Tucson,37
Corolla,37
Wigo,36
Civic,35
Hilux,32
Rush,31
NV350,28
mu-X,25
CR-V,24
L300,24
Terra,23
Explorer,22
Ertiga,22
Forester,22
BR-V,22
HR-V,17
H-100,16
ZS,16
Almera,15
Strada,15
Land,15
Territory,14
Swift,12
3,12
Santa,12
CX-5,12
Alphard,11
Mustang,10
Elantra,9
5,9
Jimny,9
Brio,9
Camry,9
WRX,7
APV,7
Patrol,6
CX-9,6
Coolray,6
2,6
Carnival,6
Grand,6
X5,5
X3,5
E-Class,5
Sorento,5
Tiggo,5
Soluto,5
S-Presso,5
Okavango,5
Celerio,5
Trax,4
Carry,4
V-Class,4
A-Class,4
C-Class,4
X1,4
Raize,4
Navara,3
Lite,3
Traveller,3
RX,3
NX,3
Cooper,3
Veloz,3
S-Class,3
BRZ,3
Traviz,3
Camaro,3
GR86,2
CX-3,2
A1,2
MX-5,2
Transvan,2
Gratour,2
LS,2
Tahoe,2
Suburban,2
M3,2
Clubman,2
Seltos,2
Staria,2
Yaris,1
Toplander,1
GT-R,1
M5,1
T-Cross,1
Lavida,1
Toano,1
Z4,1
4,1
Dzire,1
Bronco,1
ES,1
IS,1
Palisade,1
Azkarra,1
Outlander,1
Wrangler,1
