make,model,make_year,srp,key
Suzuki,APV,2024,743000.0,Suzuki APV
Suzuki,Carry,2024,614000.0,Suzuki Carry
Suzuki,Celerio,2024,708000.0,Suzuki Celerio
Suzuki,Dzire,2024,609000.0,Suzuki Dzire
Suzuki,Ertiga,2024,954000.0,Suzuki Ertiga
Suzuki,Jimny,2024,1258000.0,Suzuki Jimny
Suzuki,S-Presso,2024,620000.0,Suzuki S-Presso
Suzuki,Swift,2024,989000.0,Suzuki Swift
Suzuki,XL7,2024,1252000.0,Suzuki XL7
Ford,Bronco,2024,4998000.0,Ford Bronco
Ford,Everest,2024,1799000.0,Ford Everest
Ford,Explorer,2024,3498000.0,Ford Explorer
Ford,Mustang,2024,3499000.0,Ford Mustang
Ford,Ranger,2024,1249000.0,Ford Ranger
Ford,Territory,2024,1335000.0,Ford Territory
Honda,BR-V,2024,1090000.0,Honda BR-V
Honda,Brio,2024,735000.0,Honda Brio
Honda,City,2024,973000.0,Honda City
Honda,Civic,2024,1583000.0,Honda Civic
Honda,CR-V,2024,2100000.0,Honda CR-V
Honda,HR-V,2024,1389000.0,Honda HR-V
Toyota,Alphard,2024,5085000.0,Toyota Alphard
Toyota,Avanza,2024,838000.0,Toyota Avanza
Toyota,Camry,2024,2442000.0,Toyota Camry
Toyota,Coaster,2024,4108000.0,Toyota Coaster
Toyota,Corolla,2024,1135000.0,Toyota Corolla
Toyota,Fortuner,2024,1769000.0,Toyota Fortuner
Toyota,GR,2024,2940000.0,Toyota GR
Toyota,GR86,2024,2615000.0,Toyota GR86
Toyota,Hiace,2024,1189000.0,Toyota Hiace
Toyota,Hilux,2024,885000.0,Toyota Hilux
Toyota,Innova,2024,1261000.0,Toyota Innova
Toyota,Land,2024,5390000.0,Toyota Land
Toyota,Lite,2024,645000.0,Toyota Lite
Toyota,Raize,2024,751000.0,Toyota Raize
Toyota,RAV4,2024,2346000.0,Toyota RAV4
Toyota,Rush,2024,1202000.0,Toyota Rush
Toyota,Supra,2024,5396000.0,Toyota Supra
Toyota,Veloz,2024,1092000.0,Toyota Veloz
Toyota,Vios,2024,732000.0,Toyota Vios
Toyota,Wigo,2024,609000.0,Toyota Wigo
Toyota,Yaris,2024,1204000.0,Toyota Yaris
Toyota,Zenix,2024,1670000.0,Toyota Zenix
Hyundai,Creta,2024,1048000.0,Hyundai Creta
Hyundai,Custin,2024,1770000.0,Hyundai Custin
Hyundai,Elantra,2024,2738000.0,Hyundai Elantra
Hyundai,H-100,2024,984000.0,Hyundai H-100
Hyundai,IONIQ,2024,3068000.0,Hyundai IONIQ
Hyundai,Palisade,2024,3780000.0,Hyundai Palisade
Hyundai,Santa,2024,2410000.0,Hyundai Santa
Hyundai,Stargazer,2024,1068000.0,Hyundai Stargazer
Hyundai,Staria,2024,1560000.0,Hyundai Staria
Hyundai,Tucson,2024,1680000.0,Hyundai Tucson
Mitsubishi,L300,2024,825000.0,Mitsubishi L300
Mitsubishi,Mirage,2024,711000.0,Mitsubishi Mirage
Mitsubishi,Montero,2024,1568000.0,Mitsubishi Montero
Mitsubishi,Outlander,2024,2998000.0,Mitsubishi Outlander
Mitsubishi,Strada,2024,825000.0,Mitsubishi Strada
Mitsubishi,Triton,2024,1134000.0,Mitsubishi Triton
Mitsubishi,XForce,2024,1367000.0,Mitsubishi XForce
Mitsubishi,Xpander,2024,1068000.0,Mitsubishi Xpander
Chevrolet,Camaro,2024,4266888.0,Chevrolet Camaro
Chevrolet,Corvette,2024,12571888.0,Chevrolet Corvette
Chevrolet,Suburban,2024,8634888.0,Chevrolet Suburban
Chevrolet,Tahoe,2024,7702888.0,Chevrolet Tahoe
Chevrolet,Tracker,2024,1218888.0,Chevrolet Tracker
Chevrolet,Trailblazer,2024,1518888.0,Chevrolet Trailblazer
Chevrolet,Trax,2024,1793888.0,Chevrolet Trax
Nissan,Almera,2024,839000.0,Nissan Almera
Nissan,GT-R,2024,12445000.0,Nissan GT-R
Nissan,Kicks,2024,1179000.0,Nissan Kicks
Nissan,LEAF,2024,1998000.0,Nissan LEAF
Nissan,Livina,2024,1069000.0,Nissan Livina
Nissan,Navara,2024,1115000.0,Nissan Navara
Nissan,NV350,2024,1260000.0,Nissan NV350
Nissan,Patrol,2024,4758000.0,Nissan Patrol
Nissan,Terra,2024,1729000.0,Nissan Terra
Nissan,Z,2024,3888000.0,Nissan Z
Mazda,2,2024,1250000.0,Mazda 2
Mazda,3,2024,1510000.0,Mazda 3
Mazda,6,2024,2150000.0,Mazda 6
Mazda,BT-50,2024,1390000.0,Mazda BT-50
Mazda,CX-3,2024,1510000.0,Mazda CX-3
Mazda,CX-30,2024,1995000.0,Mazda CX-30
Mazda,CX-5,2024,1950000.0,Mazda CX-5
Mazda,CX-60,2024,2790000.0,Mazda CX-60
Mazda,CX-8,2024,2390000.0,Mazda CX-8
Mazda,CX-9,2024,2790000.0,Mazda CX-9
Mazda,CX-90,2024,3680000.0,Mazda CX-90
Mazda,MX-5,2024,2230000.0,Mazda MX-5
Geely,Azkarra,2024,1568000.0,Geely Azkarra
Geely,Coolray,2024,1083000.0,Geely Coolray
Geely,Emgrand,2024,753000.0,Geely Emgrand
Geely,GX3,2024,778000.0,Geely GX3
Geely,Okavango,2024,1363000.0,Geely Okavango
Kia,Carnival,2024,2670000.0,Kia Carnival
Kia,EV6,2024,3788000.0,Kia EV6
Kia,K2500,2024,1198000.0,Kia K2500
Kia,Seltos,2024,1198000.0,Kia Seltos
Kia,Soluto,2024,780000.0,Kia Soluto
Kia,Sonet,2024,758000.0,Kia Sonet
Kia,Sorento,2024,2448000.0,Kia Sorento
Isuzu,D-MAX,2024,938000.0,Isuzu D-MAX
Isuzu,F-Series,2024,1570000.0,Isuzu F-Series
Isuzu,mu-X,2024,1675000.0,Isuzu mu-X
Isuzu,N-Series,2024,1570000.0,Isuzu N-Series
Isuzu,Traviz,2024,1005000.0,Isuzu Traviz
Subaru,BRZ,2024,2549000.0,Subaru BRZ
Subaru,Crosstrek,2024,1998000.0,Subaru Crosstrek
Subaru,Evoltis,2024,3780000.0,Subaru Evoltis
Subaru,Forester,2024,1938000.0,Subaru Forester
Subaru,Outback,2024,2500000.0,Subaru Outback
Subaru,WRX,2024,2608000.0,Subaru WRX
BMW,2-Series,2024,3590000.0,BMW 2-Series
BMW,3-Series,2024,3790000.0,BMW 3-Series
BMW,4,2024,4190000.0,BMW 4
BMW,5,2024,4490000.0,BMW 5
BMW,iX,2024,6290000.0,BMW iX
BMW,M2,2024,5990000.0,BMW M2
BMW,M3,2024,10490000.0,BMW M3
BMW,M4,2024,9790000.0,BMW M4
BMW,M5,2024,14790000.0,BMW M5
BMW,X1,2024,3690000.0,BMW X1
BMW,X3,2024,4390000.0,BMW X3
BMW,X5,2024,5590000.0,BMW X5
BMW,X7,2024,9290000.0,BMW X7
BMW,Z4,2024,5890000.0,BMW Z4
Mercedes-Benz,A-Class,2024,2490000.0,Mercedes-Benz A-Class
Mercedes-Benz,C-Class,2024,3990000.0,Mercedes-Benz C-Class
Mercedes-Benz,E-Class,2024,4390000.0,Mercedes-Benz E-Class
Mercedes-Benz,GLA,2024,3290000.0,Mercedes-Benz GLA
Mercedes-Benz,GLB,2024,3790000.0,Mercedes-Benz GLB
Mercedes-Benz,S-Class,2024,9200000.0,Mercedes-Benz S-Class
Mercedes-Benz,V-Class,2024,4390000.0,Mercedes-Benz V-Class
MG,3,2024,678888.0,MG 3
MG,4,2024,1468888.0,MG 4
MG,5,2024,698888.0,MG 5
MG,G50,2024,1048888.0,MG G50
MG,GT,2024,1015888.0,MG GT
MG,Marvel,2024,2588888.0,MG Marvel
MG,One,2024,1298888.0,MG One
MG,ZS,2024,848888.0,MG ZS
MG,ZST,2024,1198888.0,MG ZST
Jeep,Gladiator,2024,4890000.0,Jeep Gladiator
Jeep,Grand,2024,5490000.0,Jeep Grand
Jeep,Wrangler,2024,5090000.0,Jeep Wrangler
Volkswagen,Lamando,2024,1619000.0,Volkswagen Lamando
Volkswagen,Lavida,2024,1251000.0,Volkswagen Lavida
Volkswagen,T-Cross,2024,1340000.0,Volkswagen T-Cross
Volkswagen,Tharu,2024,1808000.0,Volkswagen Tharu
Audi,A1,2024,1890000.0,Audi A1
MINI,Clubman,2024,3800000.0,MINI Clubman
MINI,Cooper,2024,2650000.0,MINI Cooper
MINI,Countryman,2024,3750000.0,MINI Countryman
Chery,Tiggo,2024,840000.0,Chery Tiggo
Lexus,ES,2024,3878000.0,Lexus ES
Lexus,GX,2024,5968000.0,Lexus GX
Lexus,IS,2024,3268000.0,Lexus IS
Lexus,LC,2024,10878000.0,Lexus LC
