make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,resale_price,key
Suzuki,S-Presso,2021,Gasoline,Manual,30000.0,1.0,Hatchback,415000.0,Suzuki S-Presso
Ford,Everest,2017,Diesel,Automatic,60000.0,2.2,SUV,930000.0,Ford Everest
Honda,Civic,2017,Gasoline,Automatic,50000.0,1.8,Sedan,760000.0,Honda Civic
Toyota,Innova,2023,Diesel,Automatic,17000.0,2.8,MPV,1120000.0,Toyota Innova
Toyota,Camry,2013,Gasoline,Automatic,60000.0,2.5,Sedan,520000.0,Toyota Camry
Hyundai,Tucson,2013,Diesel,Automatic,70000.0,2.0,Crossover,470000.0,Hyundai Tucson
Toyota,Rush,2018,Gasoline,Automatic,50000.0,1.5,MPV,720000.0,Toyota Rush
Ford,Ranger,2021,Diesel,Automatic,40000.0,2.0,Pickup,1540000.0,Ford Ranger
Mitsubishi,Montero,2012,Diesel,Automatic,80000.0,2.5,SUV,645000.0,Mitsubishi Montero
Toyota,Fortuner,2017,Gasoline,Automatic,60000.0,2.7,SUV,940000.0,Toyota Fortuner
Mitsubishi,Mirage,2024,Gasoline,Automatic,2000.0,1.2,Sedan,610000.0,Mitsubishi Mirage
Toyota,Fortuner,2017,Gasoline,Automatic,40000.0,2.7,SUV,950000.0,Toyota Fortuner
Hyundai,Grand,2019,Diesel,Automatic,40000.0,2.5,Van,960000.0,Hyundai Grand
Toyota,Vios,2022,Gasoline,CVT,17000.0,1.3,Sedan,645000.0,Toyota Vios
Toyota,Vios,2017,Gasoline,Automatic,40000.0,1.3,Sedan,460000.0,Toyota Vios
Toyota,Avanza,2022,Gasoline,CVT,21000.0,1.3,MPV,815000.0,Toyota Avanza
Toyota,Fortuner,2016,Gasoline,Automatic,60000.0,2.7,SUV,930000.0,Toyota Fortuner
Nissan,Juke,2017,Gasoline,CVT,40000.0,1.6,Crossover,505000.0,Nissan Juke
Mazda,2,2016,Gasoline,Automatic,50000.0,1.5,Sedan,420000.0,Mazda 2
Honda,Civic,2021,Gasoline,CVT,40000.0,1.8,Sedan,905000.0,Honda Civic
Suzuki,APV,2008,Gasoline,Manual,90000.0,1.6,MPV,270000.0,Suzuki APV
Toyota,Fortuner,2016,Diesel,Automatic,50000.0,2.4,SUV,1020000.0,Toyota Fortuner
Ford,Ranger,2016,Diesel,Automatic,60000.0,2.2,Pickup,680000.0,Ford Ranger
Suzuki,Vitara,2019,Gasoline,Automatic,50000.0,1.6,Crossover,690000.0,Suzuki Vitara
Honda,BR-V,2019,Gasoline,CVT,50000.0,1.5,Crossover,690000.0,Honda BR-V
Toyota,Fortuner,2017,Diesel,Automatic,50000.0,2.4,SUV,1110000.0,Toyota Fortuner
Toyota,Wigo,2016,Gasoline,Automatic,30000.0,1.0,Hatchback,360000.0,Toyota Wigo
Geely,Coolray,2020,Gasoline,Automatic,16000.0,1.5,Crossover,680000.0,Geely Coolray
Suzuki,Ertiga,2019,Gasoline,Automatic,10000.0,1.5,MPV,630000.0,Suzuki Ertiga
Toyota,Corolla,2018,Gasoline,Automatic,30000.0,1.6,Sedan,635000.0,Toyota Corolla
Toyota,Vios,2018,Gasoline,Automatic,40000.0,1.3,Sedan,520000.0,Toyota Vios
Kia,Sportage,2018,Diesel,Automatic,50000.0,2.0,Crossover,790000.0,Kia Sportage
Toyota,Wigo,2024,Gasoline,CVT,300.0,1.0,Hatchback,630000.0,Toyota Wigo
Nissan,NV350,2021,Diesel,Manual,30000.0,2.5,Van,930000.0,Nissan NV350
Hyundai,Tucson,2014,Gasoline,Automatic,40000.0,2.0,Crossover,470000.0,Hyundai Tucson
Chevrolet,Trailblazer,2017,Diesel,Automatic,50000.0,2.8,SUV,720000.0,Chevrolet Trailblazer
Suzuki,APV,2017,Gasoline,Automatic,40000.0,1.6,MPV,480000.0,Suzuki APV
Mitsubishi,Montero,2014,Diesel,Automatic,70000.0,2.5,SUV,675000.0,Mitsubishi Montero
Toyota,Yaris,2017,Gasoline,Automatic,30000.0,1.3,Hatchback,480000.0,Toyota Yaris
Suzuki,Ertiga,2020,Gasoline,Manual,30000.0,1.5,MPV,515000.0,Suzuki Ertiga
Suzuki,Vitara,2019,Gasoline,Automatic,40000.0,1.6,Crossover,590000.0,Suzuki Vitara
Suzuki,Ertiga,2015,Gasoline,Automatic,70000.0,1.4,MPV,430000.0,Suzuki Ertiga
Honda,Mobilio,2016,Gasoline,Automatic,50000.0,1.5,MPV,540000.0,Honda Mobilio
Ford,Everest,2020,Diesel,Automatic,40000.0,2.0,SUV,1320000.0,Ford Everest
Suzuki,Swift,2015,Gasoline,Automatic,60000.0,1.2,Hatchback,385000.0,Suzuki Swift
Suzuki,Ertiga,2019,Gasoline,Automatic,50000.0,1.5,MPV,565000.0,Suzuki Ertiga
Honda,Brio,2019,Gasoline,CVT,30000.0,1.2,Hatchback,580000.0,Honda Brio
Honda,Mobilio,2016,Gasoline,Automatic,40000.0,1.5,MPV,520000.0,Honda Mobilio
Toyota,Fortuner,2016,Gasoline,Automatic,30000.0,2.7,SUV,920000.0,Toyota Fortuner
Honda,Civic,2012,Gasoline,Automatic,80000.0,1.8,Sedan,390000.0,Honda Civic
Honda,HR-V,2015,Gasoline,Automatic,60000.0,1.8,Crossover,590000.0,Honda HR-V
Toyota,Veloz,2024,Gasoline,Automatic,1000.0,1.5,SUV,1120000.0,Toyota Veloz
Toyota,Fortuner,2018,Diesel,Automatic,40000.0,2.4,SUV,1130000.0,Toyota Fortuner
Toyota,Fortuner,2019,Gasoline,Automatic,90000.0,2.7,SUV,995000.0,Toyota Fortuner
Suzuki,Ertiga,2019,Gasoline,Manual,40000.0,1.5,MPV,505000.0,Suzuki Ertiga
Mitsubishi,Montero,2018,Diesel,Automatic,50000.0,2.5,SUV,990000.0,Mitsubishi Montero
Hyundai,Elantra,2019,Gasoline,Automatic,30000.0,1.4,Sedan,550000.0,Hyundai Elantra
Chevrolet,Trailblazer,2014,Diesel,Automatic,60000.0,2.8,SUV,645000.0,Chevrolet Trailblazer
Toyota,Alphard,2018,Gasoline,Automatic,124213.0,3.5,Minivan,2500000.0,Toyota Alphard
Isuzu,mu-X,2019,Diesel,Automatic,40000.0,1.9,SUV,930000.0,Isuzu mu-X
Honda,Civic,2016,Gasoline,Automatic,30000.0,1.8,Sedan,740000.0,Honda Civic
Toyota,Raize,2022,Gasoline,Automatic,20000.0,1.0,SUV,940000.0,Toyota Raize
Toyota,FJ,2016,Gasoline,Automatic,70000.0,4.0,SUV,1690000.0,Toyota FJ
Ford,Territory,2022,Gasoline,Automatic,40000.0,1.5,Crossover,970000.0,Ford Territory
Ford,Everest,2016,Diesel,Automatic,60000.0,3.2,SUV,990000.0,Ford Everest
Mitsubishi,Montero,2019,Diesel,Automatic,40000.0,2.4,SUV,1160000.0,Mitsubishi Montero
Honda,City,2016,Gasoline,Automatic,60000.0,1.5,Sedan,535000.0,Honda City
Suzuki,Ertiga,2019,Gasoline,Automatic,40000.0,1.5,MPV,615000.0,Suzuki Ertiga
Honda,BR-V,2019,Gasoline,CVT,40000.0,1.5,Crossover,675000.0,Honda BR-V
Toyota,Wigo,2019,Gasoline,Automatic,20000.0,1.0,Hatchback,440000.0,Toyota Wigo
Hyundai,Reina,2020,Gasoline,Automatic,30000.0,1.4,Sedan,450000.0,Hyundai Reina
Suzuki,Vitara,2019,Gasoline,Automatic,20000.0,1.6,Crossover,690000.0,Suzuki Vitara
Honda,BR-V,2018,Gasoline,Automatic,30000.0,1.5,SUV,680000.0,Honda BR-V
Subaru,Forester,2019,Gasoline,Automatic,49000.0,2.0,Crossover,978000.0,Subaru Forester
Toyota,Innova,2013,Diesel,Manual,126000.0,2.5,MPV,558000.0,Toyota Innova
Isuzu,mu-X,2016,Diesel,Automatic,84000.0,3.0,SUV,858000.0,Isuzu mu-X
Suzuki,Ertiga,2017,Gasoline,Manual,38000.0,1.4,MPV,498000.0,Suzuki Ertiga
Kia,Picanto,2016,Gasoline,Manual,73000.0,1.0,Hatchback,298000.0,Kia Picanto
Nissan,Navara,2017,Diesel,Automatic,47000.0,2.5,Pickup,878000.0,Nissan Navara
Ford,Ranger,2017,Diesel,Automatic,60000.0,2.2,Pickup,770000.0,Ford Ranger
Kia,Sportage,2012,Gasoline,Automatic,70000.0,2.0,SUV,410000.0,Kia Sportage
Honda,City,2020,Gasoline,Automatic,40000.0,1.5,Sedan,595000.0,Honda City
Toyota,Rush,2019,Gasoline,Automatic,50000.0,1.5,MPV,780000.0,Toyota Rush
Ford,EcoSport,2019,Gasoline,Automatic,4000.0,1.5,Crossover,590000.0,Ford EcoSport
Toyota,Rush,2019,Gasoline,Automatic,40000.0,1.5,MPV,680000.0,Toyota Rush
Toyota,Fortuner,2013,Gasoline,Automatic,70000.0,2.7,SUV,660000.0,Toyota Fortuner
Nissan,NV350,2023,Diesel,Manual,31000.0,2.5,Van,1238000.0,Nissan NV350
Toyota,Avanza,2019,Gasoline,Manual,20000.0,1.3,MPV,620000.0,Toyota Avanza
Subaru,WRX,2018,Gasoline,Automatic,9000.0,2.0,Sedan,1190000.0,Subaru WRX
Mitsubishi,Mirage,2014,Gasoline,Manual,70000.0,1.2,Hatchback,300000.0,Mitsubishi Mirage
Toyota,Alphard,2018,Gasoline,Automatic,20000.0,3.5,Van,3330000.0,Toyota Alphard
Honda,Mobilio,2016,Gasoline,Automatic,50000.0,1.5,MPV,620000.0,Honda Mobilio
Mitsubishi,Xpander,2019,Gasoline,Automatic,70000.0,1.5,MPV,690000.0,Mitsubishi Xpander
Ford,Mustang,2015,Gasoline,Automatic,18000.0,5.0,Coupe,2150000.0,Ford Mustang
BMW,X1,2018,Diesel,Automatic,20000.0,2.5,Crossover,1790000.0,BMW X1
Toyota,Innova,2022,Diesel,Automatic,7000.0,2.8,SUV,1230000.0,Toyota Innova
Mercedes-Benz,E-Class,2018,Diesel,Automatic,40000.0,2.0,Sedan,2790000.0,Mercedes-Benz E-Class
Toyota,Innova,2022,Diesel,Automatic,10000.0,2.8,SUV,1198000.0,Toyota Innova
Toyota,Hilux,2021,Diesel,Manual,79000.0,2.4,Pickup,898000.0,Toyota Hilux
Ford,Everest,2018,Diesel,Automatic,40000.0,3.2,SUV,1190000.0,Ford Everest
Mitsubishi,Montero,2020,Diesel,Automatic,40000.0,2.4,SUV,1380000.0,Mitsubishi Montero
Toyota,Camry,2019,Gasoline,Automatic,30000.0,2.5,Sedan,1490000.0,Toyota Camry
Nissan,Almera,2019,Gasoline,Automatic,20000.0,1.5,Sedan,420000.0,Nissan Almera
Hyundai,Grand,2020,Diesel,Automatic,60000.0,2.5,Van,1860000.0,Hyundai Grand
Isuzu,Sportivo,2015,Diesel,Manual,70000.0,2.5,AUV,510000.0,Isuzu Sportivo
Toyota,Fortuner,2013,Diesel,Automatic,70000.0,2.5,SUV,710000.0,Toyota Fortuner
Subaru,Forester,2014,Gasoline,Automatic,70000.0,2.0,Crossover,580000.0,Subaru Forester
Mitsubishi,Montero,2014,Diesel,Automatic,70000.0,2.5,SUV,680000.0,Mitsubishi Montero
Mitsubishi,Montero,2019,Diesel,Automatic,40000.0,2.4,SUV,1130000.0,Mitsubishi Montero
Toyota,Avanza,2016,Gasoline,Automatic,101000.0,1.5,MPV,538000.0,Toyota Avanza
Hyundai,Tucson,2018,Gasoline,Automatic,75000.0,2.0,Crossover,698000.0,Hyundai Tucson
Geely,Coolray,2023,Gasoline,Automatic,2000.0,1.5,Crossover,768000.0,Geely Coolray
Ford,Territory,2021,Gasoline,Automatic,29000.0,1.5,SUV,888000.0,Ford Territory
Mitsubishi,Strada,2021,Diesel,Automatic,30000.0,2.4,Pickup,1250000.0,Mitsubishi Strada
Toyota,Vios,2019,Gasoline,Manual,8745.0,1.3,Sedan,410000.0,Toyota Vios
Kia,Grand,2018,Diesel,Automatic,60000.0,2.2,Van,1180000.0,Kia Grand
Ford,Explorer,2016,Gasoline,Automatic,40000.0,3.5,SUV,1190000.0,Ford Explorer
Ford,Explorer,2016,Gasoline,Automatic,60000.0,3.5,SUV,1190000.0,Ford Explorer
Honda,CR-V,2017,Gasoline,Automatic,60000.0,2.0,Crossover,740000.0,Honda CR-V
Mitsubishi,Mirage,2016,Gasoline,Automatic,60000.0,1.2,Hatchback,325000.0,Mitsubishi Mirage
Hyundai,Elantra,2014,Gasoline,Automatic,60000.0,1.6,Sedan,370000.0,Hyundai Elantra
