,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
0,1990 Nissan Sentra 1.6L SGX MT Detail,"₱45,000 ",1990,1990,Gasoline,Sedan,"61,233 Km",First Owner,Manual,Quezon City,,
1,2021 Suzuki Celerio CVT 1.0L Detail,"₱60,000 ",2024,2021,Gasoline,Hatchback,"12,000 Km",First Owner,Cvt,Pasig,5 seat,998 CC
2,1994 Nissan Vanette 2.0L Vanette MT Detail,"₱70,000 ",2023,1994,Gasoline,Van,"84,710 Km",Second Owner,Manual,Quezon City,,
3,2000 Nissan Sentra 1.6L Super Saloon MT Detail,"₱70,000 ",2024,2000,Gasoline,Sedan,"150,000 Km",Second Owner,Manual,Mandaluyong City,,
4,1997 Mazda 3 Sedan 2.0L Premium Detail,"₱75,000 ",2019,1997,Gasoline,Sedan,"90,000 Km",Third Owner,Automatic,san-fernando,5 seat,1998 CC
5,2016 Tata Indigo 1.4L Diesel Detail,"₱75,000 ",2016,2016,Diesel,Sedan,"109,000 Km",First Owner,Manual,Cebu City,5 seat,1405 CC
6,1997 Mitsubishi Lancer 1.6L GLXI Limited AT Detail,"₱75,000 ",2019,1997,Gasoline,Sedan,"200,000 Km",Third Owner,Automatic,Tanza,,
7,1993 Honda Civic 1.6L ESI MT Detail,"₱80,000 ",2023,1993,Gasoline,Sedan,"10,000 Km",Second Owner,Manual,Tarlac City,,
8,1994 Honda Civic S Turbo CVT Honda Sensing Detail,"₱90,000 ",2020,1994,Gasoline,Sedan,"50,000 Km",Second Owner,Cvt,san-mateo,5 seat,1498 CC
9,2010 Nissan Sentra 1.3L GX MT Detail,"₱100,000 ",2010,2010,Gasoline,Sedan,"300,000 Km",Second Owner,Manual,Bacoor,,
10,1994 Toyota RAV 4 2.5L LE AT Detail,"₱100,000 ",2015,1994,Gasoline,Suv,"70,000 Km",Second Owner,Automatic,"Mabini, Batangas",,
0,1993 Toyota Corona 2.0L EX Saloon MT Detail,"₱115,000 ",1993.0,1993,Gasoline,Sedan,"120,000 Km",Second Owner,Manual,Cavite City,,
1,2005 Ford Focus Sedan 1.8L Ghia AT Detail,"₱120,000 ",2018.0,2005,Gasoline,Sedan,"100,000 Km",Third Owner,Automatic,Cainta,,
2,1997 Toyota Corolla 1.6L GLI AT Detail,"₱130,000 ",1997.0,1997,Gasoline,Sedan,"80,000 Km",Second Owner,Automatic,Bacoor,,
3,2000 Honda Civic 1.8 S CVT Detail,"₱135,000 ",2000.0,2000,Gasoline,Sedan,"120,000 Km",Third Owner,Cvt,Alaminos,5 seat,1799 CC
4,1996 Mazda E2000 2.0 MT Detail,"₱140,000 ",1996.0,1996,Gasoline,Van,"120,000 Km",First Owner,Manual,Lipa City,,
5,2020 Hyundai Reina GL 4AT Detail,"₱146,077 ",,2020,Gasoline,Sedan,"30,000 Km",First Owner,Automatic,Antipolo,5 seat,1368 CC
6,2006 Honda City Hatchback RS CVT Detail,"₱150,000 ",2023.0,2006,Gasoline,Hatchback,150 Km,Second Owner,Cvt,Butuan,5 seat,1498 CC
7,1994 Nissan Bluebird 2.0 MT Detail,"₱150,000 ",2024.0,1994,Gasoline,Sedan,"100,000 Km",Second Owner,Manual,Antipolo,,
0,2019 Toyota Rush 1.5 G GR-S A/T Detail,"₱810,000 ",,2019,Gasoline,Suv,"90,000 Km",First Owner,Automatic,Las Piñas,7 seat,1496 CC
1,2015 Isuzu mu-X 3.0 4x2 LS-A AT Detail,"₱810,000 ",,2015,Diesel,Suv,"60,000 Km",First Owner,Automatic,Las Piñas,7 seat,2999 CC
